@relation Training

@attribute COUNT numeric
@attribute "POWER SUPPLY VOLTAGE" numeric
@attribute CURRENT numeric
@attribute FREQUENCY numeric
@attribute "NOISE LEVEL" numeric
@attribute "OPERATING VOLTAGE RANGE" numeric


@data
36800 , 13.09 , 1.4 , 376 , 107.23 , 8.37 
36900 , 13.11 , 1.36 , 368 , 106.36 , 7.48 
37000 , 13.09 , 1.33 , 392 , 106.39 , 7.59 
37100 , 13.09 , 1.4 , 382 , 106.74 , 7.84 
37200 , 13.12 , 1.18 , 396 , 104.48 , 9.13 
37300 , 13.09 , 1.25 , 408 , 104.12 , 8.66 
37400 , 13.13 , 1.32 , 378 , 106.39 , 8.4 
37500 , 13.12 , 1.36 , 388 , 105.99 , 8.2 
37600 , 13.12 , 1.38 , 396 , 105.95 , 8.01 
37700 , 13.11 , 1.04 , 384 , 102.16 , 8.36 
37800 , 13.1 , 1.12 , 418 , 101.86 , 8.38 
37900 , 13.11 , 1.03 , 380 , 101.77 , 8.05 
38000 , 13.14 , 1.27 , 374 , 104.04 , 9.35 
38100 , 13.1 , 1.21 , 392 , 102.46 , 8.09 
38200 , 13.1 , 1.38 , 376 , 105.71 , 7.96 
38300 , 13.12 , 1.3 , 388 , 104.8 , 10.46 
38400 , 13.12 , 1.19 , 374 , 104.48 , 8.55 
38500 , 13.13 , 1.13 , 512 , 102.92 , 7.59 
38600 , 13.12 , 1.16 , 406 , 101.9 , 8.56 
38700 , 13.12 , 1.41 , 378 , 105.9 , 8.16 
38800 , 13.12 , 1.28 , 362 , 106.68 , 8.9 
38900 , 13.12 , 1.31 , 404 , 103.12 , 8.33 
39000 , 13.12 , 1.26 , 400 , 103.08 , 9.12 
39100 , 13.12 , 1.43 , 382 , 106.81 , 9.16 
39200 , 13.1 , 1.41 , 386 , 106.74 , 7.58 
39300 , 13.11 , 1.39 , 386 , 106.3 , 7.83 
39400 , 13.12 , 1.37 , 378 , 104.93 , 7.37 
39500 , 13.11 , 1.39 , 374 , 106.05 , 7.15 
39600 , 13.1 , 1.34 , 368 , 104.08 , 8.21 
39700 , 13.12 , 1.36 , 390 , 104.13 , 8.85 
39800 , 13.08 , 1.48 , 374 , 104.65 , 7.87 
39900 , 13.12 , 1.41 , 388 , 106.77 , 7.39 
40000 , 13.11 , 1.41 , 390 , 105.82 , 7.57 
40100 , 13.11 , 1.38 , 382 , 105.74 , 7.79 
40200 , 13.13 , 1.22 , 372 , 103.89 , 8.11 
40300 , 13.11 , 1.34 , 376 , 106.09 , 8.44 
40400 , 13.12 , 1.42 , 382 , 106.04 , 7.47 
40500 , 13.12 , 1.42 , 366 , 106.84 , 7.75 
40600 , 13.13 , 1.31 , 384 , 104.35 , 8.67 
40700 , 13.1 , 1.32 , 362 , 104.92 , 7.96 
40800 , 13.13 , 1.16 , 418 , 102.67 , 7.81 
40900 , 13.14 , 1.37 , 378 , 106.4 , 7.27 
